sample_id,correct_control,correct_candidate,experiment,transition
train_0385,False,True,Z-F8,wrong_to_right
train_0404,False,False,Z-F8,unchanged
train_0405,False,False,Z-F8,unchanged
train_0442,True,True,Z-F8,unchanged
train_0443,True,True,Z-F8,unchanged
train_0450,False,True,Z-F8,wrong_to_right
train_0451,False,False,Z-F8,unchanged
train_0463,True,True,Z-F8,unchanged
train_0464,True,True,Z-F8,unchanged
train_0476,False,False,Z-F8,unchanged
train_0477,True,True,Z-F8,unchanged
train_0478,False,False,Z-F8,unchanged
train_0485,False,False,Z-F8,unchanged
train_0486,False,False,Z-F8,unchanged
train_0490,False,False,Z-F8,unchanged
train_0491,False,False,Z-F8,unchanged
train_0499,True,True,Z-F8,unchanged
train_0502,False,False,Z-F8,unchanged
train_0503,False,False,Z-F8,unchanged
train_0518,True,True,Z-F8,unchanged
train_0519,True,True,Z-F8,unchanged
train_0520,True,True,Z-F8,unchanged
train_0528,False,False,Z-F8,unchanged
train_0529,False,False,Z-F8,unchanged
train_0530,True,True,Z-F8,unchanged
train_0531,False,False,Z-F8,unchanged
train_0587,True,True,Z-F8,unchanged
train_0588,False,False,Z-F8,unchanged
train_0604,False,False,Z-F8,unchanged
train_0605,False,False,Z-F8,unchanged
train_0606,False,False,Z-F8,unchanged
train_0613,False,False,Z-F8,unchanged
train_0614,False,False,Z-F8,unchanged
train_0615,False,False,Z-F8,unchanged
train_0625,True,True,Z-F8,unchanged
train_0626,False,False,Z-F8,unchanged
train_0644,False,False,Z-F8,unchanged
train_0645,False,False,Z-F8,unchanged
train_0646,True,True,Z-F8,unchanged
train_0674,True,True,Z-F8,unchanged
train_0675,False,False,Z-F8,unchanged
train_0680,False,True,Z-F8,wrong_to_right
train_0681,True,True,Z-F8,unchanged
train_0682,False,False,Z-F8,unchanged
train_0685,True,True,Z-F8,unchanged
train_0686,False,False,Z-F8,unchanged
train_0696,False,False,Z-F8,unchanged
train_0697,True,True,Z-F8,unchanged
train_0698,True,True,Z-F8,unchanged
train_0731,True,True,Z-F8,unchanged
train_0732,False,False,Z-F8,unchanged
train_0733,False,False,Z-F8,unchanged
train_0739,False,False,Z-F8,unchanged
train_0740,False,False,Z-F8,unchanged
train_0741,True,True,Z-F8,unchanged
train_0765,False,True,Z-F8,wrong_to_right
train_0781,True,True,Z-F8,unchanged
train_0782,False,False,Z-F8,unchanged
train_0787,False,False,Z-F8,unchanged
train_0788,False,False,Z-F8,unchanged
train_0789,True,True,Z-F8,unchanged
train_0790,False,False,Z-F8,unchanged
train_0810,False,False,Z-F8,unchanged
train_0811,True,True,Z-F8,unchanged
train_0812,True,True,Z-F8,unchanged
train_0816,False,False,Z-F8,unchanged
train_0817,True,True,Z-F8,unchanged
train_0818,True,True,Z-F8,unchanged
train_0830,False,False,Z-F8,unchanged
train_0831,True,True,Z-F8,unchanged
train_0832,True,True,Z-F8,unchanged
train_0842,False,False,Z-F8,unchanged
train_0843,True,False,Z-F8,right_to_wrong
train_0858,True,False,Z-F8,right_to_wrong
train_0859,False,False,Z-F8,unchanged
train_0864,False,False,Z-F8,unchanged
train_0865,False,False,Z-F8,unchanged
train_0866,False,False,Z-F8,unchanged
train_0867,True,True,Z-F8,unchanged
train_0912,False,False,Z-F8,unchanged
train_0913,False,False,Z-F8,unchanged
train_0914,False,False,Z-F8,unchanged
train_0915,True,True,Z-F8,unchanged
train_0916,True,False,Z-F8,right_to_wrong
train_0917,False,False,Z-F8,unchanged
train_0933,True,True,Z-F8,unchanged
train_0934,False,False,Z-F8,unchanged
train_0943,False,False,Z-F8,unchanged
train_0944,False,False,Z-F8,unchanged
train_0949,True,True,Z-F8,unchanged
train_0950,False,False,Z-F8,unchanged
train_0951,False,True,Z-F8,wrong_to_right
train_0952,True,True,Z-F8,unchanged
train_0959,False,False,Z-F8,unchanged
train_0960,False,False,Z-F8,unchanged
train_0969,False,False,Z-F8,unchanged
train_0970,False,False,Z-F8,unchanged
train_0991,False,False,Z-F8,unchanged
train_0992,True,True,Z-F8,unchanged
train_1003,True,False,Z-F8,right_to_wrong
train_1004,False,True,Z-F8,wrong_to_right
train_1007,True,True,Z-F8,unchanged
train_1008,False,False,Z-F8,unchanged
train_1015,False,False,Z-F8,unchanged
train_1016,True,True,Z-F8,unchanged
train_1038,True,False,Z-F8,right_to_wrong
train_1039,True,True,Z-F8,unchanged
train_1044,False,False,Z-F8,unchanged
train_1048,True,True,Z-F8,unchanged
train_1049,False,False,Z-F8,unchanged
train_1052,True,True,Z-F8,unchanged
train_1053,True,True,Z-F8,unchanged
train_1069,True,True,Z-F8,unchanged
train_1070,False,False,Z-F8,unchanged
train_1072,True,False,Z-F8,right_to_wrong
train_1088,False,False,Z-F8,unchanged
train_1089,False,False,Z-F8,unchanged
train_1094,True,True,Z-F8,unchanged
train_1095,False,True,Z-F8,wrong_to_right
train_1112,True,True,Z-F8,unchanged
train_1113,False,False,Z-F8,unchanged
train_1118,False,False,Z-F8,unchanged
train_1119,False,False,Z-F8,unchanged
train_1120,True,True,Z-F8,unchanged
